iter	Passed	Remaining
408	5028	302336
409	5039	302260
410	5051	302208
411	5062	302144
412	5074	302094
413	5085	302032
414	5097	301995
415	5109	301931
416	5120	301883
417	5133	301874
418	5145	301853
419	5157	301834
420	5169	301817
421	5181	301783
422	5193	301754
423	5205	301711
424	5216	301653
425	5228	301613
426	5240	301556
427	5252	301527
428	5263	301487
429	5275	301448
430	5287	301390
431	5298	301330
432	5310	301280
433	5321	301218
434	5333	301179
435	5345	301149
436	5358	301188
437	5370	301180
438	5383	301168
439	5395	301168
440	5407	301165
441	5419	301136
442	5432	301126
443	5444	301126
444	5456	301081
445	5468	301045
446	5479	300975
447	5491	300939
448	5502	300896
449	5514	300841
450	5526	300803
451	5538	300770
452	5550	300754
453	5562	300763
454	5574	300736
455	5586	300672
456	5597	300628
457	5609	300598
458	5621	300554
459	5632	300504
460	5644	300467
461	5656	300442
462	5668	300392
463	5679	300341
464	5691	300300
465	5702	300230
466	5713	300170
467	5724	300084
468	5735	300009
469	5747	299990
470	5760	299990
471	5772	299973
472	5784	299962
473	5796	299919
474	5808	299886
475	5819	299838
476	5831	299797
477	5843	299783
478	5855	299752
479	5867	299715
480	5878	299654
481	5890	299610
482	5901	299562
483	5913	299535
484	5925	299499
485	5937	299490
486	5949	299475
487	5961	299451
488	5973	299399
489	5984	299349
490	5996	299302
491	6007	299252
492	6019	299217
493	6030	299181
494	6042	299135
495	6054	299107
496	6065	299056
497	6077	299036
498	6089	298977
499	6101	298961
500	6112	298899
501	6123	298855
502	6136	298850
503	6148	298859
504	6161	298839
505	6172	298801
506	6184	298755
507	6196	298757
508	6208	298723
509	6219	298660
510	6230	298604
511	6242	298568
512	6254	298557
513	6266	298519
514	6278	298487
515	6289	298444
516	6301	298391
517	6312	298348
518	6324	298334
519	6338	298394
520	6352	298457
521	6365	298508
522	6379	298568
523	6393	298619
524	6406	298688
525	6420	298737
526	6433	298758
527	6446	298792
528	6459	298810
529	6472	298856
530	6486	298885
531	6499	298921
532	6513	298981
533	6526	299026
534	6540	299105
535	6554	299169
536	6568	299214
537	6581	299265
538	6595	299305
539	6608	299327
540	6621	299378
541	6634	299401
542	6647	299428
543	6661	299455
544	6674	299491
545	6687	299514
546	6700	299537
547	6713	299576
548	6726	299596
549	6740	299656
550	6755	299737
551	6768	299772
552	6781	299802
553	6794	299828
554	6808	299860
555	6821	299883
556	6834	299905
557	6847	299934
558	6860	299941
559	6873	299978
560	6886	300011
561	6900	300043
562	6913	300071
563	6926	300085
564	6939	300124
565	6953	300195
566	6967	300252
567	6980	300277
568	6993	300292
569	7006	300308
570	7020	300344
571	7033	300369
572	7046	300386
573	7059	300405
574	7072	300437
575	7086	300475
576	7099	300492
577	7112	300504
578	7124	300510
579	7136	300486
580	7149	300502
581	7161	300463
582	7173	300427
583	7184	300391
584	7196	300361
585	7208	300327
586	7220	300293
587	7232	300272
588	7243	300218
589	7255	300168
590	7266	300130
591	7278	300083
592	7290	300052
593	7301	300007
594	7313	299971
595	7324	299917
596	7336	299878
597	7347	299839
598	7360	299850
599	7372	299830
600	7384	299802
601	7396	299772
602	7408	299752
603	7420	299734
604	7432	299685
605	7443	299635
606	7455	299599
607	7466	299558
608	7478	299505
609	7489	299452
610	7500	299407
611	7512	299375
612	7524	299329
613	7535	299289
614	7547	299252
615	7559	299249
616	7571	299234
617	7583	299204
618	7595	299166
619	7607	299127
620	7618	299085
621	7630	299053
622	7641	299011
623	7653	298962
624	7664	298910
625	7676	298878
626	7688	298865
627	7699	298828
628	7712	298823
629	7724	298784
630	7736	298777
631	7749	298787
632	7760	298754
633	7772	298709
634	7783	298668
635	7795	298633
636	7806	298583
637	7819	298571
638	7830	298522
639	7841	298483
640	7853	298441
641	7864	298379
642	7876	298351
643	7888	298323
644	7899	298278
645	7911	298265
646	7923	298247
647	7936	298247
648	7948	298251
649	7960	298226
650	7974	298264
651	7987	298286
652	8000	298310
653	8014	298343
654	8027	298355
655	8040	298378
656	8053	298391
657	8066	298404
658	8079	298416
659	8092	298440
660	8105	298454
661	8116	298408
662	8129	298402
663	8141	298387
664	8153	298362
665	8165	298361
666	8178	298359
667	8190	298353
668	8203	298337
669	8214	298287
670	8225	298250
671	8237	298228
672	8249	298180
673	8260	298144
674	8272	298109
675	8283	298065
676	8295	298036
677	8306	297985
678	8318	297941
679	8329	297903
680	8340	297861
681	8353	297866
682	8365	297850
683	8377	297827
684	8389	297806
685	8401	297784
686	8414	297777
687	8425	297738
688	8437	297712
689	8449	297678
690	8460	297636
691	8472	297616
692	8483	297569
693	8495	297528
694	8506	297497
695	8518	297450
696	8531	297465
697	8543	297469
698	8555	297450
699	8568	297432
700	8579	297404
701	8591	297361
702	8602	297333
703	8614	297304
704	8625	297257
705	8637	297219
706	8649	297186
707	8660	297151
708	8671	297108
709	8683	297079
710	8695	297067
711	8707	297047
712	8720	297036
713	8732	297041
714	8744	297011
715	8756	296992
716	8768	296974
717	8780	296936
718	8792	296910
719	8803	296889
720	8815	296855
721	8827	296818
722	8839	296799
723	8851	296778
724	8862	296748
725	8874	296718
726	8886	296704
727	8898	296683
728	8910	296662
729	8922	296639
730	8934	296623
731	8946	296611
732	8958	296581
733	8970	296565
734	8982	296534
735	8993	296502
736	9005	296464
737	9016	296435
738	9028	296408
739	9040	296367
740	9051	296341
741	9064	296330
742	9075	296295
743	9087	296278
744	9100	296287
745	9114	296324
746	9128	296382
747	9142	296407
748	9155	296441
749	9169	296480
750	9184	296552
751	9198	296599
752	9211	296628
753	9223	296607
754	9235	296583
755	9247	296542
756	9258	296515
757	9271	296513
758	9283	296495
759	9296	296496
760	9309	296507
761	9322	296534
762	9335	296536
763	9347	296522
764	9359	296497
765	9371	296477
766	9383	296467
767	9395	296448
768	9407	296443
769	9419	296410
770	9431	296390
771	9442	296350
772	9454	296320
773	9466	296309
774	9478	296286
775	9490	296265
776	9502	296241
777	9514	296223
778	9526	296216
779	9539	296208
780	9551	296190
781	9562	296154
782	9574	296118
783	9586	296105
784	9598	296075
785	9610	296052
786	9622	296040
787	9634	296023
788	9646	296008
789	9658	295978
790	9670	295971
791	9683	295974
792	9695	295953
793	9707	295940
794	9719	295927
795	9731	295909
